order_id,customer_id,order_date,status,total_amount,payment_status,shipping_status,shipping_address,notes
1,120,2025-08-22T00:00:00,shipped,180.78,paid,shipped,"123 Main St, New York, NY 10001",High priority
2,103,2025-06-08T00:00:00,shipped,160.91,pending,delivered,"555 Cedar Ln, Phoenix, AZ 85001",Leave at front desk
3,687,2025-10-08T00:00:00,completed,329.49,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",Deliver to neighbor if absent
4,115,2025-07-21T00:00:00,shipped,513.46,pending,in_transit,"555 Cedar Ln, Phoenix, AZ 85001",Deliver to neighbor if absent
5,297,2025-06-06T00:00:00,cancelled,39.83,unpaid,cancelled,"456 Oak Ave, Los Angeles, CA 90001",Fraud review
6,194,2025-09-08T00:00:00,cancelled,134.39,refunded,cancelled,"123 Main St, New York, NY 10001",
7,697,2025-10-29T00:00:00,cancelled,439.18,refunded,cancelled,"2500 Elm St, Philadelphia, PA 19103",Deliver to neighbor if absent
8,605,2025-09-07T00:00:00,shipped,802.95,paid,in_transit,"17 Sunset Blvd, San Diego, CA 92101",Fraud review
9,632,2025-11-01T00:00:00,cancelled,820.52,refunded,cancelled,"555 Cedar Ln, Phoenix, AZ 85001",Gift
10,15,2025-05-12T00:00:00,completed,582.14,paid,delivered,"77 Hill St, San Jose, CA 95101",Call before delivery
11,415,2025-08-09T00:00:00,shipped,115.96,paid,in_transit,"321 Maple St, Houston, TX 77001",
12,693,2025-08-28T00:00:00,processing,624.97,paid,pending,"789 Pine Rd, Chicago, IL 60601",Gift
13,6,2025-10-21T00:00:00,processing,621.54,pending,pending,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
14,281,2025-05-29T00:00:00,completed,182.5,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",High priority
15,269,2025-05-25T00:00:00,completed,973.71,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Deliver to neighbor if absent
16,67,2025-09-26T00:00:00,processing,287.72,pending,pending,"88 River Rd, San Antonio, TX 78201",Leave at front desk
17,461,2025-07-26T00:00:00,shipped,77.41,paid,in_transit,"789 Pine Rd, Chicago, IL 60601",Gift
18,406,2025-05-29T00:00:00,cancelled,652.74,unpaid,cancelled,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
19,286,2025-10-04T00:00:00,processing,746.99,failed,pending,"2500 Elm St, Philadelphia, PA 19103",High priority
20,574,2025-05-18T00:00:00,processing,618.22,failed,pending,"555 Cedar Ln, Phoenix, AZ 85001",Leave at front desk | INTENTIONAL_TOTAL_MISMATCH
21,464,2025-11-03T00:00:00,completed,253.83,paid,delivered,"321 Maple St, Houston, TX 77001",Deliver to neighbor if absent
22,334,2025-09-22T00:00:00,completed,913.77,paid,delivered,"789 Pine Rd, Chicago, IL 60601",
23,416,2025-05-30T00:00:00,cancelled,938.31,unpaid,cancelled,"88 River Rd, San Antonio, TX 78201",Fraud review
24,152,2025-07-05T00:00:00,completed,737.11,paid,delivered,"123 Main St, New York, NY 10001",Deliver to neighbor if absent
25,217,2025-07-28T00:00:00,completed,609.76,paid,delivered,"789 Pine Rd, Chicago, IL 60601",High priority
26,,2025-09-26T00:00:00,completed,99.54,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",
27,413,2025-10-20T00:00:00,pending,132.57,unpaid,pending,"789 Pine Rd, Chicago, IL 60601",Holiday promo
28,327,2025-07-31T00:00:00,shipped,977.96,pending,shipped,"123 Main St, New York, NY 10001",
29,17,2025-07-01T00:00:00,completed,169.99,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Holiday promo
30,280,2025-06-19T00:00:00,pending,888.07,unpaid,pending,"2500 Elm St, Philadelphia, PA 19103",High priority
31,153,2025-10-06T00:00:00,completed,303.07,paid,delivered,"88 River Rd, San Antonio, TX 78201",Gift
32,492,2025-10-25T00:00:00,cancelled,182.83,unpaid,cancelled,"17 Sunset Blvd, San Diego, CA 92101",Fraud review
33,592,2025-07-21T00:00:00,processing,878.58,pending,pending,"88 River Rd, San Antonio, TX 78201",Fraud review
34,286,2025-09-04T00:00:00,completed,585.88,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",High priority
35,179,2025-09-09T00:00:00,pending,348.2,unpaid,pending,"2500 Elm St, Philadelphia, PA 19103",High priority
36,34,2025-08-26T00:00:00,completed,997.37,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
37,551,2025-06-03T00:00:00,completed,305.21,paid,delivered,"789 Pine Rd, Chicago, IL 60601",High priority
38,675,2025-10-27T00:00:00,processing,711.91,pending,pending,"17 Sunset Blvd, San Diego, CA 92101",Fraud review
39,49,2025-05-11T00:00:00,shipped,295.84,pending,in_transit,"77 Hill St, San Jose, CA 95101",Deliver to neighbor if absent
40,357,2025-10-27T00:00:00,completed,173.18,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",
41,393,2025-11-03T00:00:00,completed,125.38,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",Call before delivery
42,544,2025-05-25T00:00:00,pending,31.63,unpaid,pending,"456 Oak Ave, Los Angeles, CA 90001",
43,572,2025-05-23T00:00:00,completed,342.86,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",Holiday promo
44,235,2025-09-25T00:00:00,completed,866.11,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Fraud review
45,401,2025-05-17T00:00:00,completed,20.69,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Holiday promo
46,619,2025-06-07T00:00:00,pending,777.16,unpaid,pending,"77 Hill St, San Jose, CA 95101",Leave at front desk
47,399,2025-09-29T00:00:00,processing,485.57,failed,pending,"402 Lakeview Dr, Dallas, TX 75201",High priority
48,116,2025-05-29T00:00:00,shipped,648.74,paid,in_transit,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
49,549,2025-07-19T00:00:00,completed,346.87,paid,delivered,"77 Hill St, San Jose, CA 95101",Leave at front desk
50,341,2025-11-04T00:00:00,shipped,200.26,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",Leave at front desk
51,253,2025-06-14T00:00:00,completed,200.72,paid,delivered,"77 Hill St, San Jose, CA 95101",Deliver to neighbor if absent
52,338,2025-08-27T00:00:00,completed,602.45,paid,delivered,"88 River Rd, San Antonio, TX 78201",Deliver to neighbor if absent | INTENTIONAL_TOTAL_MISMATCH
53,551,2025-09-06T00:00:00,shipped,264.03,paid,in_transit,"123 Main St, New York, NY 10001",Fraud review
54,674,2025-09-12T00:00:00,processing,111.28,pending,pending,"555 Cedar Ln, Phoenix, AZ 85001",High priority
55,544,2025-07-22T00:00:00,shipped,907.22,paid,in_transit,"77 Hill St, San Jose, CA 95101",Holiday promo
56,245,2025-06-27T00:00:00,shipped,530.35,pending,in_transit,"2500 Elm St, Philadelphia, PA 19103",Gift
57,550,2025-07-19T00:00:00,completed,90.82,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",High priority
58,546,2025-10-12T00:00:00,pending,875.59,unpaid,pending,"17 Sunset Blvd, San Diego, CA 92101",Call before delivery
59,406,2025-10-02T00:00:00,completed,304.77,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
60,382,2025-08-12T00:00:00,shipped,276.78,paid,in_transit,"402 Lakeview Dr, Dallas, TX 75201",Deliver to neighbor if absent
61,411,2025-09-20T00:00:00,completed,552.76,paid,delivered,"17 Sunset Blvd, San Diego, CA 92101",Deliver to neighbor if absent
62,12,2025-10-30T00:00:00,cancelled,896.18,unpaid,cancelled,"17 Sunset Blvd, San Diego, CA 92101",Leave at front desk
63,560,2025-05-18T00:00:00,processing,72.96,pending,pending,"88 River Rd, San Antonio, TX 78201",Call before delivery
64,659,2025-05-12T00:00:00,completed,723.73,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",High priority
65,183,2025-07-27T00:00:00,completed,354.16,paid,delivered,"88 River Rd, San Antonio, TX 78201",Call before delivery
66,307,2025-08-28T00:00:00,shipped,20.48,paid,in_transit,"17 Sunset Blvd, San Diego, CA 92101",Leave at front desk
67,697,2025-09-01T00:00:00,processing,246.49,pending,pending,"2500 Elm St, Philadelphia, PA 19103",Leave at front desk
68,530,2025-05-15T00:00:00,completed,484.03,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
69,245,2025-05-22T00:00:00,shipped,597.69,paid,shipped,"123 Main St, New York, NY 10001",Leave at front desk
70,180,2025-06-04T00:00:00,completed,622.92,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",Call before delivery
71,53,2025-06-09T00:00:00,shipped,150.85,paid,in_transit,"456 Oak Ave, Los Angeles, CA 90001",
72,261,2025-06-25T00:00:00,completed,631.53,paid,delivered,"88 River Rd, San Antonio, TX 78201",Deliver to neighbor if absent
73,203,2025-05-24T00:00:00,processing,512.74,paid,pending,"402 Lakeview Dr, Dallas, TX 75201",High priority
74,37,2025-08-28T00:00:00,pending,175.71,unpaid,pending,"17 Sunset Blvd, San Diego, CA 92101",Deliver to neighbor if absent
75,212,2025-09-06T00:00:00,pending,337.16,unpaid,pending,"789 Pine Rd, Chicago, IL 60601",Holiday promo | INTENTIONAL_TOTAL_MISMATCH
76,412,2025-09-13T00:00:00,completed,244.46,paid,delivered,"555 Cedar Ln, Phoenix, AZ 85001",Deliver to neighbor if absent
77,455,2025-08-24T00:00:00,completed,738.32,paid,delivered,"402 Lakeview Dr, Dallas, TX 75201",Call before delivery
78,156,2025-05-16T00:00:00,processing,368.68,paid,pending,"2500 Elm St, Philadelphia, PA 19103",Gift
79,33,2025-08-04T00:00:00,cancelled,213.6,refunded,cancelled,"88 River Rd, San Antonio, TX 78201",Call before delivery
80,445,2025-10-07T00:00:00,completed,984.75,paid,delivered,"88 River Rd, San Antonio, TX 78201",Gift
81,686,2025-06-02T00:00:00,pending,652.34,unpaid,pending,"123 Main St, New York, NY 10001",Holiday promo
82,74,2025-06-19T00:00:00,completed,607.87,paid,delivered,"123 Main St, New York, NY 10001",Call before delivery
83,669,2025-05-21T00:00:00,processing,865.74,failed,pending,"2500 Elm St, Philadelphia, PA 19103",Call before delivery
84,295,2025-07-08T00:00:00,completed,687.88,paid,delivered,"77 Hill St, San Jose, CA 95101",Holiday promo
85,642,2025-06-19T00:00:00,completed,264.35,paid,delivered,"456 Oak Ave, Los Angeles, CA 90001",High priority
86,537,2025-06-14T00:00:00,cancelled,829.31,unpaid,cancelled,"123 Main St, New York, NY 10001",Leave at front desk
87,255,2025-06-05T00:00:00,processing,622.74,failed,pending,"321 Maple St, Houston, TX 77001",
88,596,2025-07-22T00:00:00,completed,750.91,paid,delivered,"321 Maple St, Houston, TX 77001",High priority
89,61,2025-06-22T00:00:00,completed,740.01,paid,delivered,"789 Pine Rd, Chicago, IL 60601",Leave at front desk
90,55,2025-07-05T00:00:00,processing,617.94,paid,pending,"456 Oak Ave, Los Angeles, CA 90001",High priority
91,306,2025-05-19T00:00:00,shipped,584.94,paid,shipped,"88 River Rd, San Antonio, TX 78201",Leave at front desk
92,557,2025-10-03T00:00:00,completed,900.08,paid,delivered,"77 Hill St, San Jose, CA 95101",Leave at front desk
93,587,2025-08-10T00:00:00,shipped,816.42,paid,in_transit,"88 River Rd, San Antonio, TX 78201",
94,499,2025-08-20T00:00:00,shipped,749.99,paid,shipped,"88 River Rd, San Antonio, TX 78201",Leave at front desk
95,426,2025-07-09T00:00:00,processing,718.56,failed,pending,"789 Pine Rd, Chicago, IL 60601",Fraud review
96,129,2025-06-08T00:00:00,pending,238.72,unpaid,pending,"402 Lakeview Dr, Dallas, TX 75201",Fraud review | INTENTIONAL_TOTAL_MISMATCH
97,507,2025-10-20T00:00:00,processing,988.01,failed,pending,"402 Lakeview Dr, Dallas, TX 75201",Call before delivery
98,398,2025-10-01T00:00:00,shipped,807.89,paid,delivered,"321 Maple St, Houston, TX 77001",Holiday promo
99,190,2025-10-19T00:00:00,completed,609.36,paid,delivered,"88 River Rd, San Antonio, TX 78201",Gift
100,493,2025-08-05T00:00:00,cancelled,256.77,refunded,cancelled,"456 Oak Ave, Los Angeles, CA 90001",Gift | INTENTIONAL_TOTAL_MISMATCH
101,389,2025-11-05T00:00:00,pending,621.33,unpaid,pending,"402 Lakeview Dr, Dallas, TX 75201",Leave at front desk
102,233,2025-10-29T00:00:00,completed,114.82,paid,delivered,"2500 Elm St, Philadelphia, PA 19103",Leave at front desk
103,107,2025-08-25T00:00:00,pending,863.56,unpaid,pending,"17 Sunset Blvd, San Diego, CA 92101",Gift
104,691,2025-09-04T00:00:00,shipped,196.38,pending,delivered,"2500 Elm St, Philadelphia, PA 19103",Holiday promo
