shipment_id,order_id,carrier,tracking_number,shipped_date,delivered_date,destination,shipping_address,shipping_cost,weight,status,address_validated
1,1,DHL,3d5d9a21-51da-4a04-a,2025-10-29,2025-10-31,San Diego,"123 Pine Rd, San Antonio, TX 41147",20.09,2.84,delivered,TRUE
2,2,DHL,9fc6de91-a572-4e40-9,2025-10-19,,New York,"807 Main St, San Antonio, TX 83339",34.38,6.37,in-transit,TRUE
3,3,DHL,20ce49bd-9d14-40cb-b,2025-09-14,,San Jose,"279 Market St, New York, NY 70956",29.7,4.22,in-transit,TRUE
4,5,DHL,b9666aba-6116-4cf6-b,2025-09-29,2025-10-05,Chicago,"691 Broadway, Houston, TX 32983",9.72,7.29,delivered,TRUE
5,6,DHL,dd27aba6-8064-4ec4-b,2025-06-12,,Phoenix,"142 Random Rd, Phoenix",31.35,2.12,in-transit,TRUE
6,7,FedEx,f2c4ad00-c3f5-4ffa-a,2025-08-19,,New York,"943 Oak Ave, San Diego, CA 94852",10.43,8.86,in-transit,TRUE
7,12,UPS,dbe0e57b-4f8b-4cba-b,2025-06-29,2025-07-05,San Antonio,"276 Oak Ave, San Antonio, TX 49789",19.03,6.76,delivered,TRUE
8,15,USPS,ffb6b123-7729-4790-b,2025-10-08,2025-10-13,San Antonio,"925 Broadway, Dallas, TX 71879",16.86,1.01,delivered,TRUE
9,16,FedEx,dfbf4b23-265f-4d6c-b,2025-08-13,,Phoenix,"733 Market St, San Diego, CA 83272",27.02,8.7,in-transit,TRUE
10,17,UPS,334ddfa6-dd58-4764-8,2025-09-19,2025-09-23,San Diego,"501 Pine Rd, Philadelphia, PA 83464",19.86,2.21,delivered,TRUE
11,18,FedEx,91ed4f91-6836-449d-8,2025-07-27,,Chicago,"987 Main St, San Diego, CA 12187",47.72,8.21,in-transit,TRUE
12,19,USPS,7f023dac-f9f3-4b29-b,2025-05-08,,San Antonio,"59 Market St, New York, NY 67438",39.72,9.83,in-transit,TRUE
13,21,USPS,4b33cdb5-4237-4325-8,2025-07-17,,Phoenix,"935 Oak Ave, Dallas, TX 70762",44.25,1.03,in-transit,TRUE
14,24,USPS,5f7a6fd6-b8b0-4661-8,2025-09-20,,San Antonio,"585 Market St, Philadelphia, PA 86389",38.87,7.37,in-transit,TRUE
15,25,DHL,c39ea849-eed0-4313-a,2025-10-08,2025-10-14,San Antonio,"570 Broadway, Phoenix, AZ 59006",32.23,7.65,delivered,TRUE
16,26,USPS,c3a6832b-445e-48d5-8,2025-09-29,,Dallas,"722 Market St, San Diego, CA 92802",10.13,3.61,in-transit,TRUE
17,28,UPS,a692d279-dded-4fdb-a,2025-10-12,2025-10-16,Chicago,"69 Main St, San Jose, CA 84890",23.24,3.05,delivered,TRUE
18,29,FedEx,f70cb079-708d-43d1-a,2025-06-09,,Chicago,"417 Pine Rd, Phoenix, AZ 48557",46.58,2.62,in-transit,TRUE
19,30,DHL,7978d1f5-57ba-4219-b,2025-06-26,2025-06-30,Philadelphia,"194 Broadway, Los Angeles, CA 81618",48.5,4.02,delivered,TRUE
20,32,FedEx,8576e760-33de-46b8-9,2025-10-31,,San Diego,"892 Pine Rd, Philadelphia, PA 55268",12.19,2.73,in-transit,TRUE
21,34,FedEx,2c9e4598-8803-4bff-a,2025-09-26,,Dallas,"565 Main St, Philadelphia, PA 67850",24.62,0.34,in-transit,TRUE
22,37,UPS,07576d6a-d71c-4ea8-a,2025-06-27,2025-06-29,Phoenix,"732 Market St, San Diego, CA 60604",28.12,7.38,delivered,TRUE
23,40,FedEx,d11aeed4-1dce-4115-9,2025-06-15,,Dallas,"188 Broadway, Dallas, TX 30989",22.66,6.43,in-transit,TRUE
24,41,DHL,1691828f-5501-449f-8,2025-10-12,2025-10-17,Chicago,"820 Main St, Dallas, TX 26492",23.66,4.18,delivered,TRUE
25,42,DHL,0f00db9e-44d8-44cf-9,2025-07-22,2025-07-27,New York,"882 Pine Rd, New York, NY 57214",31.5,4.29,delivered,TRUE
